tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,68,200016,12,,Sandrine Testud,R,176,FRA,27.7,200013,,SR,Angelica Gavaldon,R,,MEX,26.2,6-1 6-2,3,R64,,,,,,,,,,,,,,,,,,,,14,1635,320,52
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,69,200017,13,,Arantxa Sanchez Vicario,R,168,ESP,28.0,200020,,,Lisa Raymond,R,165,USA,26.4,6-1 3-6 6-3,3,R64,,,,,,,,,,,,,,,,,,,,15,1558,28,926
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,70,200023,,WC,Bryanne Stewart,R,174,AUS,20.1,200022,,,Emmanuelle Gagliardi,R,171,SUI,23.5,2-6 6-4 6-4,3,R64,,,,,,,,,,,,,,,,,,,,275,68,71,454
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,71,200026,,Q,Florencia Labat,L,170,ARG,28.5,200027,,,Magui Serna,L,167,ESP,20.8,7-6(3) 7-5,3,R64,,,,,,,,,,,,,,,,,,,,121,235,46,661
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,72,200032,6,,Barbara Schett,R,176,AUT,23.8,200030,,,Miroslava Vavrinec,R,173,SUI,21.7,6-4 6-4,3,R64,,,,,,,,,,,,,,,,,,,,9,1968,96,311
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,73,200033,3,,Serena Williams,R,175,USA,18.3,200036,,,Nicole Pratt,R,163,AUS,26.8,7-5 6-1,3,R64,,,,,,,,,,,,,,,,,,,,4,2993,58,534
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,74,200037,,,Sabine Appelmans,L,168,BEL,27.7,200039,,,Chanda Rubin,R,168,USA,23.9,6-1 3-6 6-3,3,R64,,,,,,,,,,,,,,,,,,,,31,886,22,1151
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,75,200042,,,Els Callens,R,178,BEL,29.4,200044,,,Denisa Chladkova,R,174,CZE,20.9,2-6 7-5 6-4,3,R64,,,,,,,,,,,,,,,,,,,,89,332,57,542
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,76,200048,16,,Elena Likhovtseva,R,174,RUS,24.3,200046,,,Meghann Shaughnessy,R,180,USA,20.7,6-3 7-5,3,R64,,,,,,,,,,,,,,,,,,,,18,1397,91,329
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,77,200049,10,,Conchita Martinez,R,170,ESP,27.7,200052,,,Olga Barabanschikova,R,172,BLR,20.2,6-3 4-6 6-3,3,R64,,,,,,,,,,,,,,,,,,,,13,1713,75,401
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,78,200056,,,Jelena Kostanic Tosic,L,168,CRO,18.5,200054,,,Sylvia Plischke,R,177,AUT,22.4,6-3 0-6 6-4,3,R64,,,,,,,,,,,,,,,,,,,,98,304,33,821
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,79,200059,,,Ruxandra Dragomir Ilie,R,168,ROU,27.2,200057,,,Erika De Lone,R,,USA,27.2,6-4 5-7 6-0,3,R64,,,,,,,,,,,,,,,,,,,,20,1247,68,470
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,80,200062,,,Kristina Brandi,R,168,PUR,22.8,200064,8,,Amanda Coetzer,R,158,RSA,28.2,6-1 6-3,3,R64,,,,,,,,,,,,,,,,,,,,54,569,10,1851
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,81,200067,,,Patty Schnyder,L,168,SUI,21.0,200065,7,,Amelie Mauresmo,R,175,FRA,20.5,6-4 6-4,3,R64,,,,,,,,,,,,,,,,,,,,29,924,6,2335
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,82,200069,,,Nadia Petrova,R,178,RUS,17.6,200072,,,Cara Black,R,167,ZIM,20.9,4-6 6-4 6-4,3,R64,,,,,,,,,,,,,,,,,,,,85,342,42,700
